ID,Created_Date,Category,Assigned_To,Status,Priority,Description
TKT-1001,2024-01-17 22:35,Database,DBA-Team,Escalated,P2,Slow database query identified. Refer to SOP-003: Query Performance Issues.
TKT-1002,2024-01-09 16:49,Access,Security-Ops,In-Progress,P3,VPN access error. Refer to SOP-001: VPN Access Issues.
TKT-1003,2024-01-29 04:34,Database,DBA-Team,Open,P1,Schema mismatch detected. Refer to SOP-003: Schema Mismatch.
TKT-1004,2024-01-01 05:14,Access,Security-Ops,Escalated,P3,VPN access error. Refer to SOP-001: VPN Access Issues.
TKT-1005,2024-01-01 19:43,Database,DBA-Team,Escalated,P1,Slow database query identified. Refer to SOP-003: Query Performance Issues.
TKT-1006,2024-01-03 10:28,Deploy,SRE-Cloud,Escalated,P3,Deployment failed in production. Refer to SOP-002: Deployment Failure Handling.
TKT-1007,2024-01-05 14:41,Database,DBA-Team,Open,P1,Schema mismatch detected. Refer to SOP-003: Schema Mismatch.
TKT-1008,2024-01-12 10:49,Access,Security-Ops,Open,P2,VPN access error. Refer to SOP-001: VPN Access Issues.
TKT-1009,2024-01-29 18:09,Access,Security-Ops,Open,P1,User lost MFA token. Refer to SOP-001: MFA Reset Policy.
TKT-1010,2024-01-20 15:51,Access,Security-Ops,Escalated,P1,VPN access error. Refer to SOP-001: VPN Access Issues.
TKT-1011,2024-01-17 15:42,Access,Security-Ops,In-Progress,P3,User lost MFA token. Refer to SOP-001: MFA Reset Policy.
TKT-1012,2024-01-29 16:37,Deploy,SRE-Cloud,In-Progress,P1,Deployment failed in production. Refer to SOP-002: Deployment Failure Handling.
TKT-1013,2024-01-04 21:59,Access,Security-Ops,Escalated,P3,User reports VPN not working and possible MFA issue. Needs investigation.
TKT-1014,2024-01-23 01:54,Access,Security-Ops,Open,P3,User account locked. Refer to SOP-001: Account Lockout.
TKT-1015,2024-01-04 07:45,Database,DBA-Team,In-Progress,P1,Slow database query identified. Refer to SOP-003: Query Performance Issues.
TKT-1016,2024-01-24 06:21,Database,DBA-Team,In-Progress,P2,Slow database query identified. Refer to SOP-003: Query Performance Issues.
TKT-1017,2024-01-24 10:50,Deploy,SRE-Cloud,Open,P3,Deployment failed in production. Refer to SOP-002: Deployment Failure Handling.
TKT-1018,2024-01-11 23:02,Access,Security-Ops,In-Progress,P2,User lost MFA token. Refer to SOP-001: MFA Reset Policy.
TKT-1019,2024-02-03 21:33,Database,DBA-Team,Open,P2,Slow database query identified. Refer to SOP-003: Query Performance Issues.
TKT-1020,2024-01-14 05:06,Database,DBA-Team,Escalated,P1,Schema mismatch detected. Refer to SOP-003: Schema Mismatch.
TKT-1021,2024-02-02 21:06,Database,DBA-Team,In-Progress,P2,Slow database query identified. Refer to SOP-003: Query Performance Issues.
TKT-1022,2024-02-04 12:30,Database,DBA-Team,In-Progress,P1,Slow database query identified. Refer to SOP-003: Query Performance Issues.
TKT-1023,2024-01-16 20:37,Database,DBA-Team,Escalated,P1,Slow database query identified. Refer to SOP-003: Query Performance Issues.
TKT-1024,2024-01-07 03:53,Database,DBA-Team,Open,P2,Schema mismatch detected. Refer to SOP-003: Schema Mismatch.
TKT-1025,2024-01-10 01:10,Access,Security-Ops,In-Progress,P1,User account locked. Refer to SOP-001: Account Lockout.
TKT-1026,2024-01-25 16:25,Deploy,SRE-Cloud,In-Progress,P3,Deployment failed in production. Refer to SOP-002: Deployment Failure Handling.
TKT-1027,2024-02-01 06:09,Deploy,SRE-Cloud,Open,P1,Deployment failed in production. Refer to SOP-002: Deployment Failure Handling.
TKT-1028,2024-01-16 10:58,Access,Security-Ops,In-Progress,P3,User lost MFA token. Refer to SOP-001: MFA Reset Policy.
TKT-1029,2024-01-08 03:13,Access,Security-Ops,In-Progress,P2,VPN access error. Refer to SOP-001: VPN Access Issues.
TKT-1030,2024-01-03 20:41,Deploy,SRE-Cloud,Escalated,P1,Deployment failed followed by schema mismatch observed in production environment.
TKT-1031,2024-01-12 13:36,Database,DBA-Team,In-Progress,P1,Schema mismatch detected. Refer to SOP-003: Schema Mismatch.
TKT-1032,2024-02-03 12:53,Database,DBA-Team,In-Progress,P2,Slow database query identified. Refer to SOP-003: Query Performance Issues.
TKT-1033,2024-01-07 07:51,Access,Security-Ops,Open,P1,User lost MFA token. Refer to SOP-001: MFA Reset Policy.
TKT-1034,2024-01-26 08:21,Access,Security-Ops,In-Progress,P1,User lost MFA token. Refer to SOP-001: MFA Reset Policy.
TKT-1035,2024-01-05 10:43,Access,Security-Ops,In-Progress,P1,User lost MFA token. Refer to SOP-001: MFA Reset Policy.
TKT-1036,2024-02-04 02:23,Access,Security-Ops,Open,P2,VPN access error. Refer to SOP-001: VPN Access Issues.
TKT-1037,2024-02-01 21:05,Access,Security-Ops,Escalated,P2,User account locked. Refer to SOP-001: Account Lockout.
TKT-1038,2024-01-15 22:15,Deploy,SRE-Cloud,Escalated,P3,Deployment failed in production. Refer to SOP-002: Deployment Failure Handling.
TKT-1039,2024-01-08 05:50,Access,Security-Ops,In-Progress,P2,User account locked. Refer to SOP-001: Account Lockout.
TKT-1040,2024-01-25 20:55,Access,Security-Ops,In-Progress,P2,User lost MFA token. Refer to SOP-001: MFA Reset Policy.
TKT-1041,2024-01-23 09:24,Deploy,SRE-Cloud,Escalated,P3,Deployment failed in production. Refer to SOP-002: Deployment Failure Handling.
TKT-1042,2024-02-02 01:02,Access,Security-Ops,Open,P2,User lost MFA token. Refer to SOP-001: MFA Reset Policy.
TKT-1043,2024-01-30 20:48,Access,Security-Ops,In-Progress,P2,VPN access error. Refer to SOP-001: VPN Access Issues.
TKT-1044,2024-01-05 06:25,Database,DBA-Team,Escalated,P2,Slow database query identified. Refer to SOP-003: Query Performance Issues.
TKT-1045,2024-01-20 19:57,Access,Security-Ops,Escalated,P2,VPN access error. Refer to SOP-001: VPN Access Issues.
TKT-1046,2024-01-03 23:09,Database,DBA-Team,Escalated,P3,Slow database query identified. Refer to SOP-003: Query Performance Issues.
TKT-1047,2024-01-31 07:50,Database,DBA-Team,In-Progress,P1,Slow database query identified. Refer to SOP-003: Query Performance Issues.
TKT-1048,2024-01-11 05:09,Deploy,SRE-Cloud,Open,P2,Deployment failed in production. Refer to SOP-002: Deployment Failure Handling.
TKT-1049,2024-01-17 22:47,Access,Security-Ops,Open,P3,VPN access error. Refer to SOP-001: VPN Access Issues.
TKT-1050,2024-01-15 15:08,Deploy,SRE-Cloud,Escalated,P1,Deployment failed in production. Refer to SOP-002: Deployment Failure Handling.
TKT-1051,2024-01-14 23:46,Database,DBA-Team,Open,P3,Schema mismatch detected. Refer to SOP-003: Schema Mismatch.
TKT-1052,2024-01-05 00:44,Database,DBA-Team,In-Progress,P3,Slow database query identified. Refer to SOP-003: Query Performance Issues.
TKT-1053,2024-01-10 11:10,Access,Security-Ops,Open,P1,User lost MFA token. Refer to SOP-001: MFA Reset Policy.
TKT-1054,2024-01-04 19:22,Database,DBA-Team,Open,P2,Slow database query identified. Refer to SOP-003: Query Performance Issues.
TKT-1055,2024-01-29 00:56,Access,Security-Ops,Open,P2,User account locked. Refer to SOP-001: Account Lockout.
TKT-1056,2024-01-24 10:54,Deploy,SRE-Cloud,In-Progress,P1,Deployment failed in production. Refer to SOP-002: Deployment Failure Handling.
TKT-1057,2024-01-22 05:59,Access,Security-Ops,Escalated,P1,User account locked. Refer to SOP-001: Account Lockout.
TKT-1058,2024-01-27 15:27,Access,Security-Ops,Escalated,P3,User lost MFA token. Refer to SOP-001: MFA Reset Policy.
TKT-1059,2024-02-01 11:06,Deploy,SRE-Cloud,Open,P1,Deployment failed in production. Refer to SOP-002: Deployment Failure Handling.
TKT-1060,2024-01-04 22:38,Database,DBA-Team,In-Progress,P2,Slow database query identified. Refer to SOP-003: Query Performance Issues.
TKT-1061,2024-01-11 22:45,Access,Security-Ops,Escalated,P3,VPN access error. Refer to SOP-001: VPN Access Issues.
TKT-1062,2024-01-01 13:20,Access,Security-Ops,Escalated,P1,VPN access error. Refer to SOP-001: VPN Access Issues.
TKT-1063,2024-01-20 09:51,Database,DBA-Team,In-Progress,P3,Schema mismatch detected. Refer to SOP-003: Schema Mismatch.
TKT-1064,2024-01-07 14:21,Access,Security-Ops,In-Progress,P2,User lost MFA token. Refer to SOP-001: MFA Reset Policy.
TKT-1065,2024-01-01 23:52,Access,Security-Ops,In-Progress,P3,User lost MFA token. Refer to SOP-001: MFA Reset Policy.
TKT-1066,2024-01-17 03:21,Database,DBA-Team,Escalated,P2,Slow database query identified. Refer to SOP-003: Query Performance Issues.
TKT-1067,2024-01-29 05:32,Database,DBA-Team,Open,P2,Slow database query identified. Refer to SOP-003: Query Performance Issues.
TKT-1068,2024-01-27 04:02,Deploy,SRE-Cloud,Open,P2,Deployment failed in production. Refer to SOP-002: Deployment Failure Handling.
TKT-1069,2024-02-01 18:19,Access,Security-Ops,Open,P1,User account locked. Refer to SOP-001: Account Lockout.
TKT-1070,2024-01-11 14:09,Access,Security-Ops,In-Progress,P2,VPN access error. Refer to SOP-001: VPN Access Issues.
TKT-1071,2024-01-11 01:17,Database,DBA-Team,Open,P3,Slow database query identified. Refer to SOP-003: Query Performance Issues.
TKT-1072,2024-01-06 21:08,Database,DBA-Team,Escalated,P3,Slow database query identified. Refer to SOP-003: Query Performance Issues.
TKT-1073,2024-02-04 13:13,Access,Security-Ops,In-Progress,P2,User lost MFA token. Refer to SOP-001: MFA Reset Policy.
TKT-1074,2024-01-30 18:38,Access,Security-Ops,Open,P2,VPN access error. Refer to SOP-001: VPN Access Issues.
TKT-1075,2024-02-01 03:28,Deploy,SRE-Cloud,Open,P2,Deployment failed followed by schema mismatch observed in production environment.
TKT-1076,2024-01-05 23:25,Access,Security-Ops,Open,P2,User account locked. Refer to SOP-001: Account Lockout.
TKT-1077,2024-01-16 04:52,Deploy,SRE-Cloud,In-Progress,P1,Deployment failed in production. Refer to SOP-002: Deployment Failure Handling.
TKT-1078,2024-02-04 12:28,Access,Security-Ops,In-Progress,P2,VPN access error. Refer to SOP-001: VPN Access Issues.
TKT-1079,2024-01-24 21:59,Access,Security-Ops,In-Progress,P2,User lost MFA token. Refer to SOP-001: MFA Reset Policy.
TKT-1080,2024-01-23 04:42,Access,Security-Ops,In-Progress,P2,User lost MFA token. Refer to SOP-001: MFA Reset Policy.
TKT-1081,2024-01-05 13:08,Deploy,SRE-Cloud,Open,P1,Deployment failed in production. Refer to SOP-002: Deployment Failure Handling.
TKT-1082,2024-01-13 14:51,Access,Security-Ops,Escalated,P2,User account locked. Refer to SOP-001: Account Lockout.
TKT-1083,2024-01-21 04:30,Access,Security-Ops,In-Progress,P3,User account locked. Refer to SOP-001: Account Lockout.
TKT-1084,2024-02-02 16:09,Database,DBA-Team,In-Progress,P2,Slow database query identified. Refer to SOP-003: Query Performance Issues.
TKT-1085,2024-01-05 22:50,Database,DBA-Team,Open,P2,Schema mismatch detected. Refer to SOP-003: Schema Mismatch.
TKT-1086,2024-01-09 01:17,Database,DBA-Team,Escalated,P2,Schema mismatch detected. Refer to SOP-003: Schema Mismatch.
TKT-1087,2024-01-22 04:49,Deploy,SRE-Cloud,Open,P2,Deployment failed in production. Refer to SOP-002: Deployment Failure Handling.
TKT-1088,2024-01-10 06:17,Access,Security-Ops,Escalated,P3,VPN access error. Refer to SOP-001: VPN Access Issues.
TKT-1089,2024-01-30 03:12,Access,Security-Ops,Open,P3,User lost MFA token. Refer to SOP-001: MFA Reset Policy.
TKT-1090,2024-01-05 21:19,Deploy,SRE-Cloud,In-Progress,P2,Deployment failed in production. Refer to SOP-002: Deployment Failure Handling.
TKT-1091,2024-01-20 20:35,Deploy,SRE-Cloud,Escalated,P2,Deployment failed in production. Refer to SOP-002: Deployment Failure Handling.
TKT-1092,2024-01-25 05:40,Database,DBA-Team,In-Progress,P1,Schema mismatch detected. Refer to SOP-003: Schema Mismatch.
TKT-1093,2024-01-18 14:55,Access,Security-Ops,Open,P2,User lost MFA token. Refer to SOP-001: MFA Reset Policy.
TKT-1094,2024-01-30 21:34,Database,DBA-Team,In-Progress,P1,Slow database query identified. Refer to SOP-003: Query Performance Issues.
TKT-1095,2024-01-16 17:19,Deploy,SRE-Cloud,Escalated,P2,Deployment failed in production. Refer to SOP-002: Deployment Failure Handling.
TKT-1096,2024-01-23 05:28,Database,DBA-Team,Open,P2,Schema mismatch detected. Refer to SOP-003: Schema Mismatch.
TKT-1097,2024-01-12 12:47,Access,Security-Ops,Open,P1,User account locked. Refer to SOP-001: Account Lockout.
TKT-1098,2024-01-18 14:02,Access,Security-Ops,In-Progress,P3,VPN access error. Refer to SOP-001: VPN Access Issues.
TKT-1099,2024-01-31 15:27,Database,DBA-Team,Escalated,P3,Schema mismatch detected. Refer to SOP-003: Schema Mismatch.
TKT-1100,2024-02-03 14:13,Access,Security-Ops,Open,P3,User lost MFA token. Refer to SOP-001: MFA Reset Policy.
TKT-1101,2024-01-19 14:09,Database,DBA-Team,Open,P2,Slow database query identified. Refer to SOP-003: Query Performance Issues.
TKT-1102,2024-01-27 19:27,Access,Security-Ops,Open,P1,User lost MFA token. Refer to SOP-001: MFA Reset Policy.
TKT-1103,2024-01-10 14:40,Database,DBA-Team,In-Progress,P2,Schema mismatch detected. Refer to SOP-003: Schema Mismatch.
TKT-1104,2024-02-01 00:09,Database,DBA-Team,Open,P3,Schema mismatch detected. Refer to SOP-003: Schema Mismatch.
TKT-1105,2024-01-17 11:39,Deploy,SRE-Cloud,In-Progress,P1,Deployment failed in production. Refer to SOP-002: Deployment Failure Handling.
